job_post_id,job_post_category,client_id,post_date,hire_date
8720089,"Web, Mobile, & Software Development",91864,6/12/2019,6/15/2019
8110071,"Web, Mobile, & Software Development",88872,11/4/2019,11/27/2019
8559619,SEO,84327,5/2/2019,5/19/2019
8053423,"Web, Mobile, & Software Development",94608,9/9/2019,9/17/2019
8844057,Writing,77859,12/17/2019,1/1/2020
8249087,Writing,82891,5/22/2019,6/2/2019
8582855,SEO,80501,11/28/2019,12/18/2019
8690655,SEO,79111,1/19/2020,2/10/2020
8543681,SEO,82039,2/29/2020,3/24/2020
8694178,Design & Creative,75149,5/25/2019,6/5/2019
8535398,"Web, Mobile, & Software Development",86982,11/16/2019,11/22/2019
8501602,Writing,93469,4/1/2020,4/5/2020
8269402,Design & Creative,81884,3/21/2019,4/8/2019
8117414,SEO,72227,3/2/2020,3/11/2020
8300149,Finance,77669,11/18/2019,12/8/2019
8498255,Writing,94341,11/22/2019,12/22/2019
8815323,Writing,93598,1/9/2019,1/24/2019
8498082,Writing,94333,2/27/2019,3/15/2019
8254402,Finance,93219,1/15/2019,1/26/2019
8424275,Design & Creative,81016,11/2/2019,11/23/2019
8128747,Design & Creative,89335,12/24/2018,1/2/2019
8586002,SEO,93073,12/31/2019,1/19/2020
8865259,Writing,76367,5/2/2020,5/5/2020
8883344,Writing,73662,6/9/2019,6/11/2019
8226258,Writing,92522,6/21/2019,7/13/2019
8264621,Design & Creative,71695,11/19/2019,11/26/2019
8143766,SEO,83257,10/3/2019,10/23/2019
8830313,SEO,75177,3/25/2020,4/19/2020
8253426,Design & Creative,86488,2/4/2020,2/7/2020
8422576,Finance,91333,4/16/2019,4/26/2019
8650028,Writing,85898,2/23/2019,3/25/2019
8762222,"Web, Mobile, & Software Development",93568,7/5/2019,7/26/2019
8599266,Finance,87167,9/27/2019,10/10/2019
8384727,Finance,84754,5/29/2019,6/14/2019
8061610,Finance,82814,3/12/2020,3/16/2020
8928440,SEO,93109,7/25/2019,7/31/2019
8680161,Writing,72878,6/8/2019,7/5/2019
8313215,"Web, Mobile, & Software Development",93820,11/6/2019,12/2/2019
8942373,Design & Creative,79565,7/8/2019,7/27/2019
8653555,Design & Creative,74634,6/8/2019,6/14/2019
8091374,Finance,73248,3/27/2019,4/15/2019
8715785,Design & Creative,82329,3/9/2019,4/1/2019
8678203,"Web, Mobile, & Software Development",80216,10/19/2019,11/6/2019
8533181,Finance,86140,4/11/2020,4/21/2020
8987286,Design & Creative,75077,9/5/2019,9/16/2019
8892524,Design & Creative,84115,3/31/2020,4/7/2020
8380367,SEO,73022,2/26/2020,3/13/2020
8921599,Design & Creative,82449,5/23/2019,5/29/2019
8594203,Design & Creative,73498,10/28/2019,11/7/2019
8513235,Finance,79245,10/9/2019,11/4/2019
8745930,Finance,82435,12/10/2019,12/28/2019
8581065,Finance,91070,1/5/2020,1/17/2020
8382030,Writing,86056,11/12/2019,12/9/2019
8695953,Writing,72871,1/5/2019,1/10/2019
8358237,Design & Creative,71228,4/10/2019,4/30/2019
8105759,Writing,84410,9/15/2019,9/24/2019
8123171,Finance,79321,11/20/2019,12/13/2019
8052564,Writing,85746,2/3/2019,3/2/2019
8058654,"Web, Mobile, & Software Development",82926,4/21/2019,5/6/2019
8068613,"Web, Mobile, & Software Development",74385,10/10/2019,10/25/2019
8798816,SEO,76481,12/29/2018,1/12/2019
8480128,Writing,80624,1/11/2019,1/22/2019
8923604,Writing,91856,3/26/2020,4/12/2020
8316775,Design & Creative,82023,3/22/2020,4/19/2020
8124257,"Web, Mobile, & Software Development",91816,11/6/2019,11/18/2019
8056340,"Web, Mobile, & Software Development",92737,5/18/2019,6/5/2019
8088548,"Web, Mobile, & Software Development",80070,4/10/2019,5/7/2019
8311148,Writing,80018,10/20/2019,11/17/2019
8306036,"Web, Mobile, & Software Development",86288,1/12/2020,1/15/2020
8644615,Writing,93229,1/22/2020,2/18/2020
8172801,Design & Creative,94998,1/27/2020,2/7/2020
8317272,Writing,80262,1/17/2019,2/12/2019
8864543,Writing,81480,11/14/2019,11/24/2019
8978427,Writing,79927,4/2/2020,4/18/2020
8225985,Design & Creative,75109,6/19/2019,7/2/2019
8108922,SEO,73221,1/16/2019,2/11/2019
8456286,Writing,74865,4/10/2019,5/8/2019
8576008,Writing,79994,7/20/2019,8/6/2019
8888618,Finance,87025,2/23/2020,3/5/2020
8841980,SEO,81610,12/4/2019,12/6/2019
8110225,SEO,75970,7/8/2019,8/7/2019
